epoch,learning_rate,loss,mask_loss,vertex_loss,proxy_loss,keypoint_loss
1,0.0010000000474974513,0.3967072,0.1458812,0.1291398,7.5320759,10.4677687
2,0.0010000000474974513,0.2446749,0.0692527,0.0855596,4.9776869,8.2823963
3,0.0010000000474974513,0.1944873,0.0563426,0.0651008,3.8218920,6.8951626
4,0.0010000000474974513,0.1718638,0.0487391,0.0584819,3.3680766,6.1946139
5,0.0010000000474974513,0.1593215,0.0445144,0.0547006,3.1249270,5.7975998
6,0.0010000000474974513,0.1505272,0.0414941,0.0522474,2.9544289,5.5133276
7,0.0010000000474974513,0.1426935,0.0384907,0.0502083,2.8065374,5.2857733
8,0.0010000000474974513,0.1381256,0.0368834,0.0489292,2.7288849,5.1206322
9,0.0010000000474974513,0.1332914,0.0351826,0.0476046,2.6326694,4.9737854
10,0.0010000000474974513,0.1293712,0.0336646,0.0466439,2.5661955,4.8416505
11,0.0010000000474974513,0.1261503,0.0325379,0.0458184,2.5044653,4.7337251
12,0.0010000000474974513,0.1234293,0.0315774,0.0450191,2.4537947,4.6479149
13,0.0010000000474974513,0.1244304,0.0324987,0.0449099,2.4684608,4.6356397
14,0.0010000000474974513,0.1186678,0.0301290,0.0441142,2.3538270,4.4534783
15,0.0010000000474974513,0.1183854,0.0297480,0.0437445,2.3624661,4.4755077
16,0.0010000000474974513,0.1163496,0.0289212,0.0432718,2.3252273,4.4163151
17,0.0010000000474974513,0.1149184,0.0285333,0.0429170,2.2939258,4.3596830
18,0.0010000000474974513,0.1132216,0.0278817,0.0424587,2.2659109,4.3031707
19,0.0010000000474974513,0.1116284,0.0272459,0.0421016,2.2376401,4.2525101
20,0.0010000000474974513,0.1103742,0.0269856,0.0417323,2.2070141,4.2024565
21,0.0010000000474974513,0.1091980,0.0264604,0.0414596,2.1903343,4.1647387
22,0.0010000000474974513,0.1086414,0.0263653,0.0412714,2.1753623,4.1442838
23,0.0010000000474974513,0.1072456,0.0257709,0.0409254,2.1517634,4.1050987
24,0.0010000000474974513,0.1057573,0.0253294,0.0400536,2.1258416,4.0733724
25,0.0010000000474974513,0.1026146,0.0254464,0.0350996,2.0669470,4.0877419
26,0.0010000000474974513,0.0950341,0.0253245,0.0278975,1.8752722,3.9473906
27,0.0010000000474974513,0.0907766,0.0253745,0.0248437,1.7572689,3.8030219
28,0.0010000000474974513,0.0882004,0.0250954,0.0232492,1.6927503,3.7270122
29,0.0010000000474974513,0.0861444,0.0247583,0.0221374,1.6451567,3.6628959
30,0.0010000000474974513,0.0853302,0.0251435,0.0215137,1.6114566,3.6082752
31,0.0010000000474974513,0.0839684,0.0245507,0.0209253,1.5912794,3.5836554
32,0.0010000000474974513,0.0828083,0.0243798,0.0203320,1.5633035,3.5446959
33,0.0010000000474974513,0.0817085,0.0240968,0.0199308,1.5393395,3.5080328
34,0.0010000000474974513,0.0812067,0.0240435,0.0196164,1.5307684,3.4847677
35,0.0010000000474974513,0.0799823,0.0237745,0.0190962,1.5037299,3.4433858
36,0.0010000000474974513,0.0788620,0.0235338,0.0186233,1.4799966,3.4023862
37,0.0010000000474974513,0.0783287,0.0234331,0.0183707,1.4658768,3.3888900
38,0.0010000000474974513,0.0774861,0.0231971,0.0179936,1.4502914,3.3625481
39,0.0010000000474974513,0.0766624,0.0229329,0.0177170,1.4321027,3.3413486
40,0.0010000000474974513,0.0765716,0.0231612,0.0175893,1.4244401,3.3213596
41,0.0010000000474974513,0.0754224,0.0227365,0.0172184,1.4049064,3.2861459
42,0.0010000000474974513,0.0746951,0.0225558,0.0169376,1.3911617,3.2575557
43,0.0010000000474974513,0.0746545,0.0225503,0.0169258,1.3879478,3.2602947
44,0.0010000000474974513,0.0739655,0.0223676,0.0166598,1.3770491,3.2303171
45,0.0010000000474974513,0.0731910,0.0222459,0.0164293,1.3535788,3.2038689
46,0.0010000000474974513,0.0727948,0.0220219,0.0162888,1.3514853,3.1937454
47,0.0010000000474974513,0.0726938,0.0221358,0.0161577,1.3465559,3.1829681
48,0.0010000000474974513,0.0724554,0.0220819,0.0160922,1.3418021,3.1715097
49,0.0010000000474974513,0.0715852,0.0218760,0.0157780,1.3217303,3.1420772
50,0.0010000000474974513,0.0712229,0.0216604,0.0157176,1.3183795,3.1325414
51,0.0005000000237487257,0.0650368,0.0199778,0.0143353,1.1761237,2.8927741
52,0.0005000000237487257,0.0638525,0.0196292,0.0141155,1.1470761,2.8513591
53,0.0005000000237487257,0.0629240,0.0193400,0.0138298,1.1287338,2.8197272
54,0.0005000000237487257,0.0624147,0.0192576,0.0136816,1.1180750,2.7921557
55,0.0005000000237487257,0.0621916,0.0192698,0.0135933,1.1093353,2.7835786
56,0.0005000000237487257,0.0617619,0.0190763,0.0135914,1.1039184,2.7615759
57,0.0005000000237487257,0.0613114,0.0190355,0.0133627,1.0930042,2.7428131
58,0.0005000000237487257,0.0610597,0.0189116,0.0133851,1.0889474,2.7316132
59,0.0005000000237487257,0.0604424,0.0187131,0.0132781,1.0735590,2.7123692
60,0.0005000000237487257,0.0605695,0.0187394,0.0132639,1.0780538,2.7182288
61,0.0005000000237487257,0.0601686,0.0187157,0.0130923,1.0671859,2.6998603
62,0.0005000000237487257,0.0602323,0.0186647,0.0131672,1.0719386,2.7007093
63,0.0005000000237487257,0.0596584,0.0185139,0.0130286,1.0571250,2.6819046
