epoch,learning_rate,loss,mask_loss,vertex_loss,proxy_loss,keypoint_loss
1,0.0010000000474974513,0.3652267,0.1243378,0.1231883,7.1909246,10.2046747
2,0.0010000000474974513,0.2336071,0.0686862,0.0795922,4.6172814,7.9809337
3,0.0010000000474974513,0.1894731,0.0555115,0.0637286,3.6378422,6.7899384
4,0.0010000000474974513,0.1692503,0.0483994,0.0580495,3.2394810,6.1763582
5,0.0010000000474974513,0.1569227,0.0440446,0.0547030,3.0141470,5.7592006
6,0.0010000000474974513,0.1476157,0.0404909,0.0520767,2.8501129,5.4764347
7,0.0010000000474974513,0.1411602,0.0383686,0.0501857,2.7277861,5.2545700
8,0.0010000000474974513,0.1356006,0.0363190,0.0486888,2.6237514,5.0829954
9,0.0010000000474974513,0.1317473,0.0348987,0.0476295,2.5598948,4.9479423
10,0.0010000000474974513,0.1278184,0.0335389,0.0465435,2.4842033,4.8206878
11,0.0010000000474974513,0.1237428,0.0319812,0.0450065,2.4145546,4.7199836
12,0.0010000000474974513,0.1196639,0.0312797,0.0420701,2.3228195,4.6438198
13,0.0010000000474974513,0.1121743,0.0310804,0.0342635,2.1725147,4.4821053
14,0.0010000000474974513,0.1055545,0.0305450,0.0296053,2.0176132,4.2775474
15,0.0010000000474974513,0.1018007,0.0299316,0.0275506,1.9342370,4.1542735
16,0.0010000000474974513,0.0984958,0.0292093,0.0259947,1.8610308,4.0533972
17,0.0010000000474974513,0.0962821,0.0287738,0.0249756,1.8141555,3.9726405
18,0.0010000000474974513,0.0948691,0.0285831,0.0242603,1.7804601,3.9213336
19,0.0010000000474974513,0.0927741,0.0279012,0.0234915,1.7407634,3.8594058
20,0.0010000000474974513,0.0906826,0.0274217,0.0225342,1.6950567,3.7954271
21,0.0010000000474974513,0.0891767,0.0271703,0.0218341,1.6586114,3.7442870
22,0.0010000000474974513,0.0875981,0.0266749,0.0213744,1.6285361,3.6868460
23,0.0010000000474974513,0.0864280,0.0265140,0.0207570,1.6035081,3.6403813
24,0.0010000000474974513,0.0852255,0.0260866,0.0204115,1.5817811,3.6009181
25,0.0010000000474974513,0.0839553,0.0256883,0.0200004,1.5553941,3.5622625
26,0.0010000000474974513,0.0828949,0.0253272,0.0196267,1.5390680,3.5240128
27,0.0010000000474974513,0.0817705,0.0249845,0.0192389,1.5143596,3.4930351
28,0.0010000000474974513,0.0809512,0.0247690,0.0189882,1.4999752,3.4554961
29,0.0010000000474974513,0.0797197,0.0244397,0.0184604,1.4754317,3.4169092
30,0.0010000000474974513,0.0790610,0.0243330,0.0182439,1.4572328,3.3925002
31,0.0010000000474974513,0.0780839,0.0239929,0.0179207,1.4395063,3.3625486
32,0.0010000000474974513,0.0770046,0.0235136,0.0176417,1.4254304,3.3269596
33,0.0010000000474974513,0.0763665,0.0233740,0.0174106,1.4106089,3.3039896
34,0.0010000000474974513,0.0758596,0.0233839,0.0171575,1.3940415,3.2837751
35,0.0010000000474974513,0.0748668,0.0231424,0.0168070,1.3747771,3.2427416
36,0.0010000000474974513,0.0748224,0.0231910,0.0167567,1.3734601,3.2358906
37,0.0010000000474974513,0.0737005,0.0226653,0.0164232,1.3563131,3.2112646
38,0.0010000000474974513,0.0731568,0.0225445,0.0163363,1.3439870,3.1834917
39,0.0010000000474974513,0.0726852,0.0224157,0.0160970,1.3381132,3.1642072
40,0.0010000000474974513,0.0718376,0.0220527,0.0159247,1.3217303,3.1423848
41,0.0010000000474974513,0.0716160,0.0222343,0.0157318,1.3106579,3.1222973
42,0.0010000000474974513,0.0710981,0.0221034,0.0155272,1.2988554,3.1069140
43,0.0010000000474974513,0.0703444,0.0217432,0.0153866,1.2872854,3.0855165
44,0.0010000000474974513,0.0702825,0.0216922,0.0154503,1.2899455,3.0737090
45,0.0010000000474974513,0.0691859,0.0213606,0.0150587,1.2682228,3.0389562
46,0.0010000000474974513,0.0693453,0.0215272,0.0151143,1.2676764,3.0351241
47,0.0010000000474974513,0.0685085,0.0211455,0.0148597,1.2544087,3.0167100
48,0.0010000000474974513,0.0681794,0.0211241,0.0147612,1.2467750,2.9961965
49,0.0010000000474974513,0.0675000,0.0208448,0.0145317,1.2341945,2.9823573
50,0.0010000000474974513,0.0674472,0.0209614,0.0145233,1.2302322,2.9672313
