epoch,learning_rate,loss,mask_loss,vertex_loss,proxy_loss,keypoint_loss
1,0.0010000000474974513,0.0967547,0.0341328,0.0192159,1.9493401,3.3962681
2,0.0010000000474974513,0.0832752,0.0284485,0.0160550,1.6114231,3.2325625
3,0.0010000000474974513,0.0803709,0.0274155,0.0153290,1.5369179,3.1767125
4,0.0010000000474974513,0.0786355,0.0267525,0.0149780,1.4945872,3.1393325
5,0.0010000000474974513,0.0771799,0.0261664,0.0146128,1.4612792,3.1125534
6,0.0010000000474974513,0.0761865,0.0259569,0.0143910,1.4314930,3.0802386
7,0.0010000000474974513,0.0753479,0.0256711,0.0141660,1.4118745,3.0593417
8,0.0010000000474974513,0.0747520,0.0253740,0.0140609,1.3993938,3.0509553
9,0.0010000000474974513,0.0737913,0.0250167,0.0138557,1.3806289,3.0196486
10,0.0010000000474974513,0.0730926,0.0248253,0.0136636,1.3603810,3.0042758
11,0.0010000000474974513,0.0726309,0.0246025,0.0136246,1.3519506,2.9909635
12,0.0010000000474974513,0.0721311,0.0244103,0.0135083,1.3413001,2.9781578
13,0.0010000000474974513,0.0717757,0.0243139,0.0134078,1.3339006,2.9641731
14,0.0010000000474974513,0.0711224,0.0240810,0.0132600,1.3199667,2.9445643
15,0.0010000000474974513,0.0709166,0.0240431,0.0131887,1.3118385,2.9430504
16,0.0010000000474974513,0.0703599,0.0239589,0.0130493,1.2952127,2.9211810
17,0.0010000000474974513,0.0700247,0.0237707,0.0129763,1.2900314,2.9165001
18,0.0010000000474974513,0.0697093,0.0236882,0.0129207,1.2837615,2.9006336
19,0.0010000000474974513,0.0693762,0.0236744,0.0127715,1.2738546,2.8868964
20,0.0010000000474974513,0.0688556,0.0232886,0.0127772,1.2704154,2.8745680
21,0.0010000000474974513,0.0687066,0.0233954,0.0126780,1.2608438,2.8656566
22,0.0010000000474974513,0.0683893,0.0231647,0.0126866,1.2588832,2.8568518
23,0.0010000000474974513,0.0679658,0.0231110,0.0124970,1.2469753,2.8430936
24,0.0010000000474974513,0.0675224,0.0228836,0.0124604,1.2385999,2.8327510
25,0.0010000000474974513,0.0671514,0.0227825,0.0123399,1.2295316,2.8222644
26,0.0010000000474974513,0.0672353,0.0228658,0.0123679,1.2307473,2.8177540
27,0.0010000000474974513,0.0667198,0.0226357,0.0122816,1.2218838,2.8021886
28,0.0010000000474974513,0.0665978,0.0226574,0.0121951,1.2180793,2.7959299
29,0.0010000000474974513,0.0663095,0.0225016,0.0122150,1.2122710,2.7880664
30,0.0010000000474974513,0.0662913,0.0225781,0.0121758,1.2088488,2.7846479
31,0.0010000000474974513,0.0661174,0.0224793,0.0121606,1.2100397,2.7724817
32,0.0010000000474974513,0.0653619,0.0222334,0.0119797,1.1904907,2.7544830
33,0.0010000000474974513,0.0654104,0.0222771,0.0119632,1.1901789,2.7569988
34,0.0010000000474974513,0.0653536,0.0222841,0.0119507,1.1890365,2.7512355
35,0.0010000000474974513,0.0651898,0.0222825,0.0118949,1.1837447,2.7433853
36,0.0010000000474974513,0.0646494,0.0219865,0.0118303,1.1762452,2.7291279
37,0.0010000000474974513,0.0647776,0.0221376,0.0118239,1.1751862,2.7286198
38,0.0010000000474974513,0.0643457,0.0219729,0.0117436,1.1660752,2.7157056
39,0.0010000000474974513,0.0641375,0.0218782,0.0116753,1.1639564,2.7088761
40,0.0010000000474974513,0.0640972,0.0218271,0.0117044,1.1635349,2.7092457
41,0.0010000000474974513,0.0634248,0.0215577,0.0115984,1.1515954,2.6848552
42,0.0010000000474974513,0.0635333,0.0216046,0.0115872,1.1541630,2.6889234
43,0.0010000000474974513,0.0637785,0.0218411,0.0116231,1.1531827,2.6897140
44,0.0010000000474974513,0.0632482,0.0215370,0.0115388,1.1449460,2.6810660
45,0.0010000000474974513,0.0631025,0.0215996,0.0114427,1.1403304,2.6680498
46,0.0010000000474974513,0.0631166,0.0216180,0.0114102,1.1414540,2.6673694
47,0.0010000000474974513,0.0629329,0.0215479,0.0114679,1.1370130,2.6565180
48,0.0010000000474974513,0.0622295,0.0211193,0.0113568,1.1263213,2.6481435
49,0.0010000000474974513,0.0624249,0.0214116,0.0112874,1.1250767,2.6419113
50,0.0010000000474974513,0.0620602,0.0212515,0.0112173,1.1210201,2.6263635
51,0.0005000000237487257,0.0583689,0.0201269,0.0108566,1.0313292,2.4776859
52,0.0005000000237487257,0.0573217,0.0198280,0.0106501,1.0084677,2.4345467
53,0.0005000000237487257,0.0568588,0.0195829,0.0105871,1.0008358,2.4242885
54,0.0005000000237487257,0.0565855,0.0196317,0.0105201,0.9897459,2.4067748
